Include,Block,Lot,Qual,Address,Class,Bldg,Type,Design,VCS,Zoning,Location,Special Region,Category,Sale Date,$ Sale Price,Acres,$/Acre,Package,Notes
Y,1014,26.01,,46 HALIFAX RD,1,37,30,09,CCTH,CNC,,Normal,pre-construction,2025-07-02,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,48 HALIFAX RD,1,37,30,08,CCTH,CNC,,Normal,pre-construction,2025-07-03,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,50 HALIFAX RD,1,37,30,08,CCTH,CNC,,Normal,pre-construction,2025-07-03,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,52 HALIFAX RD,1,37,30,09,CCTH,CNC,,Normal,pre-construction,2025-07-03,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,54 HALIFAX RD,1,37,30,08,CCTH,CNC,,Normal,pre-construction,2025-07-03,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,56 HALIFAX RD,1,37,30,08,CCTH,CNC,,Normal,pre-construction,2025-07-03,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,58 HALIFAX RD,1,37,30,08,CCTH,CNC,,Normal,pre-construction,2025-07-03,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,60 HALIFAX RD,1,37,30,08,CCTH,CNC,,Normal,pre-construction,2025-07-03,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,62 HALIFAX RD,1,37,30,08,CCTH,CNC,,Normal,pre-construction,2025-07-03,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,64 HALIFAX RD,1,37,30,08,CCTH,CNC,,Normal,pre-construction,2025-07-03,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,66 HALIFAX RD,1,37,30,08,CCTH,CNC,,Normal,pre-construction,2025-07-03,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,68 HALIFAX RD,1,37,30,09,CCTH,CNC,,Normal,pre-construction,2025-07-03,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,5 PELHAM LN,1,37,30,02,CCTH,CNC,,Normal,pre-construction,2026-01-16,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,13 PELHAM LN,1,37,30,02,CCTH,CNC,,Normal,pre-construction,2026-01-16,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,15 PELHAM LN,1,37,30,02,CCTH,CNC,,Normal,pre-construction,2026-01-16,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,2 PELHAM LN,1,37,30,09,CCTH,CNC,,Normal,pre-construction,2025-10-03,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,4 PELHAM LN,1,37,30,08,CCTH,CNC,,Normal,teardown,2025-10-03,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,6 PELHAM LN,1,37,30,08,CCTH,CNC,,Normal,pre-construction,2025-10-03,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,8 PELHAM LN,1,37,30,08,CCTH,CNC,,Normal,pre-construction,2025-10-03,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,10 PELHAM LN,1,37,30,08,CCTH,CNC,,Normal,pre-construction,2025-10-03,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,12 PELHAM LN,1,37,30,08,CCTH,CNC,,Normal,pre-construction,2025-10-03,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,14 PELHAM LN,1,37,30,08,CCTH,CNC,,Normal,pre-construction,2025-10-03,"$110,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,16 PELHAM LN,1,37,30,08,CCTH,CNC,,Normal,pre-construction,2025-10-03,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,18 PELHAM LN,1,37,30,08,CCTH,CNC,,Normal,pre-construction,2025-10-03,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
Y,1014,26.01,,20 PELHAM LN,1,37,30,09,CCTH,CNC,,Normal,pre-construction,2025-10-03,"$166,750",0,,N,SALE OF LAND BEFORE HOUSE BUILT
N,1023.01,9,,33 COVE DR,1,10,,,RVBK,R100,,Normal,building_lot,2022-01-21,"$115,000",0.16,"$907,756",N,1ST SALE OF VACANT LOT SOLD AGAIN
Y,1061,2,,239 BERKELEY DR,2,17,10,02,RVBK,R100,,Normal,pre-construction,2022-05-09,"$110,000",0.33,"$420,988",N,SALE OF LAND PRIOR TO HOUSE BEING BUILT
